Process ontologies
mRNA splicing	0;3|C;1|E;2|J;1|1;0|2;1|3;1|4;1|5;1|6;1|7;0|8;0|9;0|
cell growth and/or maintenance	0;2524|C;771|E;1594|J;1079|1;350|2;538|3;634|4;711|5;498|6;469|7;588|8;22|9;390|
catalase reaction	0;1|C;0|E;1|J;1|1;0|2;0|3;1|4;1|5;0|6;0|7;1|8;0|9;0|
regulation of gene expression epigenetic	0;1|C;0|E;1|J;0|1;0|2;0|3;0|4;1|5;0|6;0|7;0|8;0|9;0|
coenzymes and prosthetic group metabolism	0;12|C;4|E;4|J;5|1;4|2;1|3;2|4;1|5;1|6;1|7;3|8;0|9;2|
cell communication	0;121|C;31|E;72|J;51|1;18|2;23|3;35|4;29|5;27|6;14|7;18|8;0|9;13|
peroxidase reaction	0;3|C;0|E;3|J;0|1;0|2;0|3;0|4;2|5;1|6;0|7;0|8;0|9;0|
histogenesis and organogenesis	0;1|C;0|E;1|J;0|1;0|2;1|3;0|4;0|5;0|6;0|7;0|8;0|9;0|
death	0;5|C;1|E;3|J;3|1;1|2;2|3;1|4;0|5;1|6;0|7;2|8;0|9;0|
morphogenesis	0;3|C;0|E;3|J;0|1;0|2;0|3;0|4;2|5;0|6;0|7;0|8;0|9;2|


Function ontologies
structural constituent of ribosome	0;172|C;109|E;137|J;104|1;45|2;60|3;49|4;72|5;88|6;90|7;93|8;6|9;65|
cyclophilin	0;4|C;1|E;3|J;1|1;0|2;1|3;0|4;0|5;2|6;1|7;1|8;0|9;0|
myosin ATPase	0;1|C;0|E;0|J;1|1;0|2;0|3;1|4;0|5;0|6;0|7;0|8;0|9;0|
toxin	0;1|C;0|E;1|J;0|1;0|2;0|3;0|4;1|5;0|6;0|7;0|8;0|9;0|
DNA-directed RNA polymerase III	0;1|C;1|E;1|J;0|1;0|2;0|3;0|4;1|5;0|6;1|7;0|8;0|9;1|
vitamin binding	0;1|C;0|E;1|J;0|1;0|2;1|3;0|4;0|5;0|6;0|7;0|8;0|9;0|
sodium:dicarboxylate/tricarboxylate cotransporter	0;1|C;0|E;1|J;0|1;0|2;0|3;0|4;0|5;1|6;0|7;0|8;0|9;0|
lipid binding	0;13|C;3|E;5|J;7|1;2|2;0|3;4|4;4|5;1|6;1|7;5|8;0|9;1|
isoprenoid binding	0;7|C;2|E;7|J;5|1;0|2;1|3;1|4;4|5;1|6;2|7;4|8;0|9;4|
